ascii_value,name_len,num_vowels,num_consonent,last_letter_vowel,class
103.143,7,4,3,1,1
103.286,7,4,3,1,1
103.857,7,4,3,1,1
103.429,7,4,3,1,1
102.8,5,2,3,0,1
101.833,6,3,3,1,1
102.5,6,3,3,1,1
103.875,8,4,4,1,1
105.4,5,2,3,0,1
106.167,6,2,4,0,1
105.429,7,3,4,1,1
106.714,7,2,5,0,1
106.0,8,3,5,1,1
102.0,4,2,2,0,1
101.0,5,3,2,1,1
103.0,7,4,3,1,1
102.333,6,4,2,1,1
105.8,10,5,5,1,1
105.125,8,4,4,1,1
104.167,6,3,3,1,1
106.571,7,4,3,1,1
103.2,5,3,2,1,1
101.2,5,3,2,1,1
101.5,6,3,3,1,1
102.833,6,3,3,1,1
103.8,5,2,3,1,1
100.667,3,2,1,1,1
99.75,4,3,1,1,1
101.0,6,4,2,1,1
104.571,7,4,3,0,1
102.286,7,4,3,1,1
99.4,5,3,2,1,1
102.0,6,4,2,1,1
103.143,7,4,3,1,1
103.714,7,4,3,1,1
104.0,8,4,4,1,1
106.0,7,3,4,0,1
106.833,6,2,4,0,1
107.286,7,2,5,0,1
101.8,5,3,2,1,1
102.6,5,3,2,1,1
106.333,6,3,3,0,1
108.0,6,2,4,0,1
104.5,6,3,3,1,1
104.6,5,3,2,1,1
106.167,6,3,3,1,1
100.0,4,2,2,1,1
101.4,5,3,2,1,1
102.571,7,3,4,0,1
104.0,5,2,3,0,1
105.4,5,2,3,0,1
103.5,6,3,3,1,1
101.0,4,2,2,1,1
103.333,6,4,2,1,1
104.167,6,3,3,1,1
103.8,5,3,2,1,1
104.6,5,3,2,1,1
103.833,6,3,3,0,1
101.8,5,3,2,1,1
103.167,6,3,3,0,1
102.286,7,4,3,1,1
103.25,8,4,4,1,1
102.857,7,4,3,1,1
103.167,6,3,3,1,1
102.6,5,3,2,1,1
103.833,6,3,3,0,1
102.857,7,4,3,1,1
103.429,7,4,3,1,1
104.714,7,3,4,0,1
103.75,8,4,4,1,1
104.25,8,4,4,1,1
103.4,5,3,2,1,1
103.444,9,5,4,1,1
104.167,6,3,3,0,1
103.75,8,4,4,1,1
104.25,8,4,4,1,1
104.5,6,3,3,0,1
104.0,7,4,3,1,1
104.25,8,4,4,1,1
104.75,8,4,4,1,1
103.833,6,3,3,1,1
105.5,8,4,4,1,1
105.143,7,3,4,1,1
105.75,8,3,5,1,1
104.0,6,3,3,1,1
104.8,5,3,2,1,1
103.75,4,2,2,1,1
105.429,7,3,4,1,1
106.0,7,3,4,1,1
107.333,6,2,4,0,1
109.0,6,2,4,0,1
103.167,6,4,2,1,1
100.75,4,3,1,1,1
102.143,7,5,2,1,1
104.2,5,3,2,0,1
102.2,5,3,2,1,1
103.143,7,5,2,1,1
102.333,9,5,4,1,1
103.667,6,4,2,0,1
103.0,7,5,2,1,1
103.875,8,5,3,1,1
104.333,6,4,2,0,1
108.0,7,3,4,0,1
105.4,5,3,2,0,1
106.4,5,3,2,0,1
106.167,6,3,3,0,1
109.0,8,3,5,0,1
108.6,5,2,3,0,1
102.8,5,3,2,1,1
103.25,4,3,1,1,1
100.25,4,3,1,1,1
104.4,5,3,2,1,1
103.2,5,2,3,0,1
103.5,6,4,2,1,1
102.5,4,2,2,1,1
102.8,5,2,3,0,1
104.167,6,3,3,0,1
102.333,6,3,3,1,1
103.667,6,3,3,1,1
102.75,4,2,2,1,1
103.0,6,3,3,1,1
104.286,7,3,4,0,1
107.2,5,2,3,0,1
109.2,5,1,4,0,1
103.25,4,3,1,1,1
101.5,4,2,2,0,1
103.857,7,4,3,1,1
102.0,5,3,2,1,1
102.333,6,3,3,1,1
103.714,7,4,3,1,1
101.6,5,3,2,1,1
101.8,5,3,2,1,1
105.2,5,2,3,0,1
106.833,6,2,4,0,1
106.333,9,4,5,1,1
105.375,8,4,4,1,1
102.5,6,4,2,1,1
107.5,8,4,4,1,1
100.5,2,1,1,0,1
100.333,6,4,2,1,1
101.0,5,3,2,1,1
102.6,5,3,2,1,1
102.0,6,3,3,0,1
103.0,5,2,3,0,1
102.167,6,3,3,1,1
103.5,6,3,3,1,1
105.143,7,3,4,0,1
